skin_name,image,price_min,price_max,price_min_stattrak,price_max_stattrak,weapon_name
3rd Commando Company,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL21vdG9yY3ljbGVfZ2xvdmVzX21vdG9yY3ljbGVfY29tbWFuZG9fa3NrX2xpZ2h0LmFkYjlkMDNkNWEwOTY0OTk4NWQ2YzMxM2E5YTYyZDE3ZmM1MTkwODcucG5n/auto/auto/85/notrim/d209678fd0b5add6409936d5d4a2c4f8.webp,$57.03,$362.99,,,Moto Gloves
Abyss,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9hcV9sZXZpYXRoYW5fbGlnaHQuMmY0MjNmODFkMTY5Y2JmMDMyMzBmMjFhMjlmOTA4Yzg0ZGFjNTA3My5wbmc-/auto/auto/85/notrim/6ae104b05be64ad6c121be1aa9ba525d.webp,$0.08,$2.45,$0.27,$8.87,SSG 08
Abyssal Apparition,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfY3VfbXA3X2ZlYXJfbGlnaHQuZmRlYWQwZDIwN2ZjNGE1NWViY2ZmM2ZmOGEyMzg3MDZjNzM2NTU5My5wbmc-/auto/auto/85/notrim/5da0cf2c3e29e9083fb7c74d763a9795.webp,$0.72,$6.11,$1.19,$12.24,MP7
Acheron,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfaHlfbnVjbGVhcl9za3VsbHNfcmVkYmx1ZV9saWdodC5hZjFiNGYxN2JmOTE1M2EwZmIyZjFiYzRhYTBiOTY4YjMzY2EzZDQ2LnBuZw--/auto/auto/85/notrim/a44762fb905b44a11f0a9775440e002e.webp,$0.19,$1.19,$3.16,$34.19,AWP
Acid Etched,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9oa3AyMDAwX2FxX3AyMDAwX2FjaWRfY2xvdmVyX2xpZ2h0LjA3MzhlMTViOTFkYTMwMDg5NTU2ZDEwNzVhZjMyN2NhYjE4ZmVjY2EucG5n/auto/auto/85/notrim/c792f828abda8b22bed4096b4d068926.webp,$0.23,$1.44,$0.48,$5.06,P2000
Acid Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9hYV9mYWRlX2dyYXNzbGFuZF9saWdodC40MDRiOWMzNTE0ODAzMDk0OWVlMTk4Yzk2NGE1NzA5NDE5YjQ4OGFhLnBuZw--/auto/auto/85/notrim/cc5b8ff05c172665938561316579a930.webp,,,,,SSG 08
Acid Wash,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZXRjaF9saWdodC5hZWNjM2MyOGMzMWU5ODY1OTg0Zjc0ZDI0YjZkYmRmMTU4M2E2OTYwLnBuZw--/auto/auto/85/notrim/83b1b7468ad94cf00f4c3783737ad0ee.webp,$0.41,$0.98,$0.51,$3.23,MP5-SD
Aerial,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19hZXJpYWxfbGlnaHQuYjE4MmVhMzJjMzk5MTQ1YmIzMjNlNjUzNzg2YjlhZmExMDcwMWQyNS5wbmc-/auto/auto/85/notrim/b0c9ed160b51ee93152af67f66e00e8a.webp,$0.08,$0.19,$0.12,$0.70,SG 553
Afterimage,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9icm9rZW5fcGF0aF9mYW1hc19saWdodC4xYWYwNjI3OTkyOGEyMTM4ZjhkNjZjMDdmMTNkYzRjMjVjZGRiNmU0LnBuZw--/auto/auto/85/notrim/e6caf557be1b890a59cdae5c3b419f96.webp,$15.38,$45.05,$16.11,$73.73,FAMAS
Agent,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZmJpX2xpZ2h0LjU5MDQ5ZGU3YTYzYTdjNmFjOGJkNTEzZDcyYjUwMzY0MGJiZGE4NTkucG5n/auto/auto/85/notrim/2951b0a821e75fd79defabc81f9fbbe3.webp,$0.38,$2.15,$0.76,$9.97,MP5-SD
Airlock,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X25hcmNpc19saWdodC43OTUyYWI4MGZjOTk3MjJhOWNkMTNmY2NkNjM4YzVmYzhlZTI5OWNjLnBuZw--/auto/auto/85/notrim/a5b53b126c455004966fd2f6f96dc0af.webp,$1.08,$8.73,$1.97,$25.07,MP9
Akihabara Accept,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfY3VfYW5pbWVfYXVnX2xpZ2h0LmM4M2Q4NTUwNjVkZjFhM2E2ODA4YTdhZjJjNjRjYjUxODliNmRhMTcucG5n/auto/auto/85/notrim/01c1090dbdd860f324155b6dc84cfa22.webp,$277.95,"$3,850.00",,,AUG
Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX3NwX2dhbGlsX2Frb2Jlbl9saWdodC5jOGI2MzNkZGQ2MDlkNDUzODk4N2JhZDczY2U5MGE5ODQ4MDFmNWJlLnBuZw--/auto/auto/85/notrim/a18749df7de227a71a7f5cfb697b347e.webp,$0.10,$0.49,$0.17,$1.35,Galil AR
Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfc3BfbXA3X3RyaWJhbF95ZWxsb3dfbGlnaHQuMGVjZTRlN2FjMjVmNDUxMjk3Nzc1MDMzMjVmZjM0OGEzYmVjODNhZi5wbmc-/auto/auto/85/notrim/76bc7511e9cc01764ae26d6003b32510.webp,$0.13,$0.32,$0.21,$0.78,MP7
Allure,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9jdV9tYWMxMF9pc29vbm5hX2xpZ2h0LjUwOWFjNDg3MzQ5MDM1YmE2ODBiYjI3NjEyNjYyNDVmMjkzYmY3NWEucG5n/auto/auto/85/notrim/79917f996f76d810ffdc42d12a4038e3.webp,$0.23,$1.08,$0.37,$3.08,MAC-10
Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9hbV9tYWMxMF9hbG9oYV9saWdodC5lN2RmYTg5NDk3OGIzYWYzZTRjOGVhYmNjOWNkNjgzNDBiMzMwZDBmLnBuZw--/auto/auto/85/notrim/41380f04d9defb79fcd94543dfa681a5.webp,$2.09,$3.01,$2.83,$5.04,MAC-10
Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9zcF9zZzUzM19hbG9oYV9saWdodC4wNTA5MmY5Y2RhY2MzZjc5MjBiMzA5NGFjYTEzOWE3YzhiODI1NTBhLnBuZw--/auto/auto/85/notrim/9bb516e5353e2f8f59411ff13f92722e.webp,$0.03,$0.14,$0.07,$0.49,SG 553
